"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Unable to create note if any of the required fields are empty","99","test_create_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","tests","Wed Jul 09 16:09:29 GMT 2025","passed","Wed Jul 09 16:09:29 GMT 2025","TestNotes","test_notes","",""
"Unauthorized user can not get a user info","67","test_get_user_info_without_auth_header","tests","Wed Jul 09 16:09:39 GMT 2025","passed","Wed Jul 09 16:09:39 GMT 2025","TestUser","test_user","",""
"Can get the list of all notes of the authed user","585","test_get_all_notes","tests","Wed Jul 09 16:09:31 GMT 2025","passed","Wed Jul 09 16:09:31 GMT 2025","TestNotes","test_notes","",""
"Can register a new user","248","test_create_new_user","tests","Wed Jul 09 16:09:32 GMT 2025","passed","Wed Jul 09 16:09:32 GMT 2025","TestUser","test_user","",""
"Can update user info for authed user","173","test_update_user","tests","Wed Jul 09 16:09:40 GMT 2025","passed","Wed Jul 09 16:09:41 GMT 2025","TestUser","test_user","",""
"Unable to create a note as unauthorized user","65","test_create_note_without_auth_header","tests","Wed Jul 09 16:09:28 GMT 2025","passed","Wed Jul 09 16:09:28 GMT 2025","TestNotes","test_notes","",""
"Unable to create a note by non-existent note id","133","test_update_note_by_non_existent_id","tests","Wed Jul 09 16:09:33 GMT 2025","passed","Wed Jul 09 16:09:34 GMT 2025","TestNotes","test_notes","",""
"Can not register a user with existing email","356","test_create_same_user_twice","tests","Wed Jul 09 16:09:32 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestUser","test_user","",""
"Can login with valid credentials","210","test_auth_user","tests","Wed Jul 09 16:09:34 GMT 2025","passed","Wed Jul 09 16:09:34 GMT 2025","TestUser","test_user","",""
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","74","test_create_user_with_too_short_or_long_password[1234567890123456789012345678900]","tests","Wed Jul 09 16:09:33 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestUser","test_user","",""
"Can create a new note","193","test_create_new_note","tests","Wed Jul 09 16:09:28 GMT 2025","passed","Wed Jul 09 16:09:28 GMT 2025","TestNotes","test_notes","",""
"Can get user info for authed user","143","test_get_user_info","tests","Wed Jul 09 16:09:40 GMT 2025","passed","Wed Jul 09 16:09:40 GMT 2025","TestUser","test_user","",""
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","76","test_create_user_with_too_short_or_long_password[12345]","tests","Wed Jul 09 16:09:33 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestUser","test_user","",""
"Check for 500 internal server error for ""get user profile"" request","2","test_user_profile_returns_500","tests","Wed Jul 09 16:09:39 GMT 2025","passed","Wed Jul 09 16:09:39 GMT 2025","TestUser","test_user","",""
"Can logout user","280","test_logout_user","tests","Wed Jul 09 16:09:39 GMT 2025","passed","Wed Jul 09 16:09:39 GMT 2025","TestUser","test_user","",""
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","174","test_create_user_with_too_short_or_long_name[qwertyuiopasdfghjklzxcvbnmqwerv]","tests","Wed Jul 09 16:09:33 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestUser","test_user","",""
"Can delete note by its ID for authed user","529","test_delete_note_by_id","tests","Wed Jul 09 16:09:39 GMT 2025","passed","Wed Jul 09 16:09:39 GMT 2025","TestNotes","test_notes","",""
"Unable to create user if any of the required fields are empty","64","test_create_user_with_empty_required_field[name-User name must be between 4 and 30 characters]","tests","Wed Jul 09 16:09:33 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestUser","test_user","",""
"Can change the completed status of a note between True/False","533","test_update_note_status","tests","Wed Jul 09 16:09:37 GMT 2025","passed","Wed Jul 09 16:09:38 GMT 2025","TestNotes","test_notes","",""
"Unable to create note with a title shorter than 4 symbols or longer than 100 symbols","100","test_create_note_with_too_short_or_long_title[short_title]","tests","Wed Jul 09 16:09:27 GMT 2025","passed","Wed Jul 09 16:09:28 GMT 2025","TestNotes","test_notes","",""
"Check for 500 internal server error for ""create user"" request","2","test_create_user_returns_500","tests","Wed Jul 09 16:09:33 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestUser","test_user","",""
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","77","test_create_user_with_too_short_or_long_name[qwe]","tests","Wed Jul 09 16:09:33 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestUser","test_user","",""
"Unable to update note if any of the required fields are empty","107","test_edit_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","tests","Wed Jul 09 16:09:36 GMT 2025","passed","Wed Jul 09 16:09:36 GMT 2025","TestNotes","test_notes","",""
"Unable to update note if any of the required fields are empty","149","test_edit_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","tests","Wed Jul 09 16:09:35 GMT 2025","passed","Wed Jul 09 16:09:35 GMT 2025","TestNotes","test_notes","",""
"Can not login with empty required fields","75","test_login_with_empty_credentials[password-Password must be between 6 and 30 characters]","tests","Wed Jul 09 16:09:36 GMT 2025","passed","Wed Jul 09 16:09:36 GMT 2025","TestUser","test_user","",""
"Unable to create note with a title shorter than 4 symbols or longer than 100 symbols","105","test_create_note_with_too_short_or_long_title[long_title]","tests","Wed Jul 09 16:09:32 GMT 2025","passed","Wed Jul 09 16:09:32 GMT 2025","TestNotes","test_notes","",""
"Unable to update user without filling required field","130","test_update_with_empty_required_field","tests","Wed Jul 09 16:09:41 GMT 2025","passed","Wed Jul 09 16:09:41 GMT 2025","TestUser","test_user","",""
"Unable to create user if any of the required fields are empty","62","test_create_user_with_empty_required_field[email-A valid email address is required]","tests","Wed Jul 09 16:09:33 GMT 2025","passed","Wed Jul 09 16:09:33 GMT 2025","TestUser","test_user","",""
"Can change the password","840","test_change_password","tests","Wed Jul 09 16:09:42 GMT 2025","passed","Wed Jul 09 16:09:43 GMT 2025","TestUser","test_user","",""
