"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","60","test_create_user_with_too_short_or_long_password[1234567890123456789012345678900]","tests","Tue Jul 15 16:54:28 GMT 2025","passed","Tue Jul 15 16:54:28 GMT 2025","TestUser","test_user","",""
"Can get the note by note ID for authed user","167","test_get_note_by_id","tests","Tue Jul 15 16:54:26 GMT 2025","passed","Tue Jul 15 16:54:26 GMT 2025","TestNotes","test_notes","",""
"Unable to create a note by non-existent note id","235","test_update_note_by_non_existent_id","tests","Tue Jul 15 16:54:26 GMT 2025","passed","Tue Jul 15 16:54:27 GMT 2025","TestNotes","test_notes","",""
"Can create a new note","203","test_create_new_note","tests","Tue Jul 15 16:54:24 GMT 2025","passed","Tue Jul 15 16:54:24 GMT 2025","TestNotes","test_notes","",""
"Unable to create note with a title shorter than 4 symbols or longer than 100 symbols","97","test_create_note_with_too_short_or_long_title[long_title]","tests","Tue Jul 15 16:54:24 GMT 2025","passed","Tue Jul 15 16:54:24 GMT 2025","TestNotes","test_notes","",""
"Unable to update user without filling required field","97","test_update_with_empty_required_field","tests","Tue Jul 15 16:54:33 GMT 2025","passed","Tue Jul 15 16:54:33 GMT 2025","TestUser","test_user","",""
"Unable to create note if any of the required fields are empty","201","test_create_note_with_empty_required_field[category-Category must be one of the categories: Home, Work, Personal]","tests","Tue Jul 15 16:54:25 GMT 2025","passed","Tue Jul 15 16:54:25 GMT 2025","TestNotes","test_notes","",""
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","60","test_create_user_with_too_short_or_long_name[qwe]","tests","Tue Jul 15 16:54:28 GMT 2025","passed","Tue Jul 15 16:54:28 GMT 2025","TestUser","test_user","",""
"Unable to create user if any of the required fields are empty","100","test_create_user_with_empty_required_field[password-Password must be between 6 and 30 characters]","tests","Tue Jul 15 16:54:30 GMT 2025","passed","Tue Jul 15 16:54:30 GMT 2025","TestUser","test_user","",""
"Unable to create note if any of the required fields are empty","125","test_create_note_with_empty_required_field[description-Description must be between 4 and 1000 characters]","tests","Tue Jul 15 16:54:24 GMT 2025","passed","Tue Jul 15 16:54:24 GMT 2025","TestNotes","test_notes","",""
"Unable to create user if any of the required fields are empty","64","test_create_user_with_empty_required_field[name-User name must be between 4 and 30 characters]","tests","Tue Jul 15 16:54:29 GMT 2025","passed","Tue Jul 15 16:54:29 GMT 2025","TestUser","test_user","",""
"Can not login with empty required fields","136","test_login_with_empty_credentials[email-A valid email address is required]","tests","Tue Jul 15 16:54:31 GMT 2025","passed","Tue Jul 15 16:54:31 GMT 2025","TestUser","test_user","",""
"Unauthorized user can not get a user info","218","test_get_user_info_without_auth_header","tests","Tue Jul 15 16:54:31 GMT 2025","passed","Tue Jul 15 16:54:31 GMT 2025","TestUser","test_user","",""
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","143","test_create_user_with_too_short_or_long_password[12345]","tests","Tue Jul 15 16:54:29 GMT 2025","passed","Tue Jul 15 16:54:29 GMT 2025","TestUser","test_user","",""
"Check for 500 internal server error for ""get user profile"" request","1","test_user_profile_returns_500","tests","Tue Jul 15 16:54:32 GMT 2025","passed","Tue Jul 15 16:54:32 GMT 2025","TestUser","test_user","",""
"Unable to update note if any of the required fields are empty","128","test_edit_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","tests","Tue Jul 15 16:54:28 GMT 2025","passed","Tue Jul 15 16:54:28 GMT 2025","TestNotes","test_notes","",""
"Check for 500 internal server error for ""create note"" request","2","test_create_note_returns_500","tests","Tue Jul 15 16:54:24 GMT 2025","passed","Tue Jul 15 16:54:24 GMT 2025","TestNotes","test_notes","",""
"Can register a new user","227","test_create_new_user","tests","Tue Jul 15 16:54:28 GMT 2025","passed","Tue Jul 15 16:54:28 GMT 2025","TestUser","test_user","",""
