"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check for 500 internal server error for ""create user"" request","2","test_create_user_returns_500","tests","Wed Jul 09 15:51:11 GMT 2025","passed","Wed Jul 09 15:51:11 GMT 2025","TestUser","test_user","",""
"Can delete authed user","286","test_delete_user","tests","Wed Jul 09 15:51:38 GMT 2025","passed","Wed Jul 09 15:51:38 GMT 2025","TestUser","test_user","",""
"Can create a new note","4324","test_create_new_note","tests","Wed Jul 09 15:48:33 GMT 2025","passed","Wed Jul 09 15:48:37 GMT 2025","TestNotes","test_notes","",""
"Can change the completed status of a note between True/False","613","test_update_note_status","tests","Wed Jul 09 15:51:33 GMT 2025","passed","Wed Jul 09 15:51:34 GMT 2025","TestNotes","test_notes","",""
"Unable to create note if any of the required fields are empty","3839","test_create_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","tests","Wed Jul 09 15:48:58 GMT 2025","passed","Wed Jul 09 15:49:02 GMT 2025","TestNotes","test_notes","",""
"Unable to update note if any of the required fields are empty","141","test_edit_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","tests","Wed Jul 09 15:51:30 GMT 2025","passed","Wed Jul 09 15:51:30 GMT 2025","TestNotes","test_notes","",""
"Can get the note by note ID for authed user","5204","test_get_note_by_id","tests","Wed Jul 09 15:49:24 GMT 2025","passed","Wed Jul 09 15:49:29 GMT 2025","TestNotes","test_notes","",""
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","2246","test_create_user_with_too_short_or_long_name[qwe]","tests","Wed Jul 09 15:51:04 GMT 2025","passed","Wed Jul 09 15:51:06 GMT 2025","TestUser","test_user","",""
"Unable to create user if any of the required fields are empty","2564","test_create_user_with_empty_required_field[email-A valid email address is required]","tests","Wed Jul 09 15:51:00 GMT 2025","passed","Wed Jul 09 15:51:02 GMT 2025","TestUser","test_user","",""
"Unable to create a note by non-existent note id","2315","test_update_note_by_non_existent_id","tests","Wed Jul 09 15:51:16 GMT 2025","passed","Wed Jul 09 15:51:18 GMT 2025","TestNotes","test_notes","",""
