"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","131","test_create_user_with_too_short_or_long_name[qwertyuiopasdfghjklzxcvbnmqwerv]","tests","Fri Jul 11 17:51:14 GMT 2025","passed","Fri Jul 11 17:51:14 GMT 2025","TestUser","test_user","",""
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","75","test_create_user_with_too_short_or_long_password[1234567890123456789012345678900]","tests","Fri Jul 11 17:51:14 GMT 2025","passed","Fri Jul 11 17:51:14 GMT 2025","TestUser","test_user","",""
"Can get the list of all notes of the authed user","542","test_get_all_notes","tests","Fri Jul 11 17:51:12 GMT 2025","passed","Fri Jul 11 17:51:13 GMT 2025","TestNotes","test_notes","",""
"Can get user info for authed user","146","test_get_user_info","tests","Fri Jul 11 17:51:15 GMT 2025","passed","Fri Jul 11 17:51:15 GMT 2025","TestUser","test_user","",""
"Can delete authed user","494","test_delete_user","tests","Fri Jul 11 17:51:17 GMT 2025","passed","Fri Jul 11 17:51:17 GMT 2025","TestUser","test_user","",""
"Can not register a user with existing email","368","test_create_same_user_twice","tests","Fri Jul 11 17:51:14 GMT 2025","passed","Fri Jul 11 17:51:14 GMT 2025","TestUser","test_user","",""
"Unable to update note if any of the required fields are empty","151","test_edit_note_with_empty_required_field[title-Title must be between 4 and 100 characters]","tests","Fri Jul 11 17:51:13 GMT 2025","passed","Fri Jul 11 17:51:13 GMT 2025","TestNotes","test_notes","",""
"Can not login with empty required fields","126","test_login_with_empty_credentials[email-A valid email address is required]","tests","Fri Jul 11 17:51:16 GMT 2025","passed","Fri Jul 11 17:51:16 GMT 2025","TestUser","test_user","",""
"Can get the note by note ID for authed user","142","test_get_note_by_id","tests","Fri Jul 11 17:51:11 GMT 2025","passed","Fri Jul 11 17:51:11 GMT 2025","TestNotes","test_notes","",""
"Can change the completed status of a note between True/False","557","test_update_note_status","tests","Fri Jul 11 17:51:13 GMT 2025","passed","Fri Jul 11 17:51:14 GMT 2025","TestNotes","test_notes","",""
