"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Can not register a user with existing email","7679","test_create_same_user_twice","tests","Wed Jul 09 15:26:05 GMT 2025","passed","Wed Jul 09 15:26:13 GMT 2025","TestUser","test_user","",""
"Can login with valid credentials","8318","test_auth_user","tests","Wed Jul 09 15:26:41 GMT 2025","passed","Wed Jul 09 15:26:50 GMT 2025","TestUser","test_user","",""
"Can get the list of all notes of the authed user","11297","test_get_all_notes","tests","Wed Jul 09 15:25:29 GMT 2025","passed","Wed Jul 09 15:25:40 GMT 2025","TestNotes","test_notes","",""
"Unable to create note if any of the required fields are empty","3123","test_create_note_with_empty_required_field[category-Category must be one of the categories: Home, Work, Personal]","tests","Wed Jul 09 15:25:28 GMT 2025","passed","Wed Jul 09 15:25:31 GMT 2025","TestNotes","test_notes","",""
"Can change the completed status of a note between True/False","11376","test_update_note_status","tests","Wed Jul 09 15:28:24 GMT 2025","passed","Wed Jul 09 15:28:36 GMT 2025","TestNotes","test_notes","",""
"Can delete note by its ID for authed user","13837","test_delete_note_by_id","tests","Wed Jul 09 15:29:02 GMT 2025","passed","Wed Jul 09 15:29:16 GMT 2025","TestNotes","test_notes","",""
"Can not login with empty required fields","1680","test_login_with_empty_credentials[password-Password must be between 6 and 30 characters]","tests","Wed Jul 09 15:27:57 GMT 2025","passed","Wed Jul 09 15:27:58 GMT 2025","TestUser","test_user","",""
"Unable to create user with name that is less than 4 symbols or greater than 30 symbols","1354","test_create_user_with_too_short_or_long_name[qwe]","tests","Wed Jul 09 15:26:19 GMT 2025","passed","Wed Jul 09 15:26:20 GMT 2025","TestUser","test_user","",""
"Can not create user with password that is less than 6 symbols and greater than 30 symbols","2148","test_create_user_with_too_short_or_long_password[1234567890123456789012345678900]","tests","Wed Jul 09 15:26:23 GMT 2025","passed","Wed Jul 09 15:26:25 GMT 2025","TestUser","test_user","",""
"Unable to create a note as unauthorized user","2490","test_create_note_without_auth_header","tests","Wed Jul 09 15:24:13 GMT 2025","passed","Wed Jul 09 15:24:15 GMT 2025","TestNotes","test_notes","",""
"Check for 500 internal server error for ""create note"" request","2","test_create_note_returns_500","tests","Wed Jul 09 15:24:30 GMT 2025","passed","Wed Jul 09 15:24:30 GMT 2025","TestNotes","test_notes","",""
