"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Can register a new user","282","test_create_new_user","tests","Fri Jul 11 17:56:33 GMT 2025","passed","Fri Jul 11 17:56:33 GMT 2025","TestUser","test_user","",""
"Unable to create note with a title shorter than 4 symbols or longer than 100 symbols","102","test_create_note_with_too_short_or_long_title[short_title]","tests","Fri Jul 11 17:56:30 GMT 2025","passed","Fri Jul 11 17:56:30 GMT 2025","TestNotes","test_notes","",""
"Can update user info for authed user","249","test_update_user","tests","Fri Jul 11 17:56:37 GMT 2025","passed","Fri Jul 11 17:56:37 GMT 2025","TestUser","test_user","",""
"Can change the password","803","test_change_password","tests","Fri Jul 11 17:56:37 GMT 2025","passed","Fri Jul 11 17:56:38 GMT 2025","TestUser","test_user","",""
"Can get user info for authed user","161","test_get_user_info","tests","Fri Jul 11 17:56:35 GMT 2025","passed","Fri Jul 11 17:56:35 GMT 2025","TestUser","test_user","",""
"Unable to create note if any of the required fields are empty","82","test_create_note_with_empty_required_field[category-Category must be one of the categories: Home, Work, Personal]","tests","Fri Jul 11 17:56:30 GMT 2025","passed","Fri Jul 11 17:56:30 GMT 2025","TestNotes","test_notes","",""
"Can delete authed user","491","test_delete_user","tests","Fri Jul 11 17:56:36 GMT 2025","passed","Fri Jul 11 17:56:36 GMT 2025","TestUser","test_user","",""
"Unable to create a note by non-existent note id","167","test_update_note_by_non_existent_id","tests","Fri Jul 11 17:56:31 GMT 2025","passed","Fri Jul 11 17:56:31 GMT 2025","TestNotes","test_notes","",""
"Can not login with wrong email or password","158","test_login_with_wrong_credentials[password]","tests","Fri Jul 11 17:56:34 GMT 2025","passed","Fri Jul 11 17:56:35 GMT 2025","TestUser","test_user","",""
"Check for 500 internal server error for ""create user"" request","2","test_create_user_returns_500","tests","Fri Jul 11 17:56:33 GMT 2025","passed","Fri Jul 11 17:56:33 GMT 2025","TestUser","test_user","",""
"Can get the list of all notes of the authed user","632","test_get_all_notes","tests","Fri Jul 11 17:56:32 GMT 2025","passed","Fri Jul 11 17:56:32 GMT 2025","TestNotes","test_notes","",""
"Check for 500 internal server error for ""create note"" request","2","test_create_note_returns_500","tests","Fri Jul 11 17:56:29 GMT 2025","passed","Fri Jul 11 17:56:29 GMT 2025","TestNotes","test_notes","",""
"Unable to create user if any of the required fields are empty","43","test_create_user_with_empty_required_field[email-A valid email address is required]","tests","Fri Jul 11 17:56:33 GMT 2025","passed","Fri Jul 11 17:56:33 GMT 2025","TestUser","test_user","",""
"Unable to create user if any of the required fields are empty","46","test_create_user_with_empty_required_field[password-Password must be between 6 and 30 characters]","tests","Fri Jul 11 17:56:34 GMT 2025","passed","Fri Jul 11 17:56:34 GMT 2025","TestUser","test_user","",""
